Kod stacji;Data;Produkt;Sprzeda¿ [l];Stan pocz. [l];Stan konc. [l];Przyjêto dostawê [l]
1402;2026-08-24;PB98;7025,91;13548,3;21501,2;15000,0
1402;2026-08-24;ON;7173,31;13076,2;5899,7;0
1402;2026-08-24;LPG;1314,64;9688,3;8356,6;0
1402;2026-08-25;PB95;1850,61;21921,4;40042,6;20000,0
1402;2026-08-25;PB98;3404,55;24350,8;40916,9;20000,0
1402;2026-08-25;ON;5118,16;18687,6;13537,4;0
1402;2026-08-25;LPG;561,23;18771,5;18193,1;0
1402;2026-08-26;PB95;4994,23;24877,7;19887,4;0
1402;2026-08-26;PB98;3837,56;9888,8;n/d;0
1402;2026-08-26;ON;2073,48;19145,6;17111,6;0
1402;2026-08-26;LPG;764,22;28164,2;27365,9;0
1519;2026-08-24;PB95;2177,27;24444,7;37238,0;15000,0
1519;2026-08-24;PB98;7651,63;19192,4;11557,0;0
1519;2026-08-24;ON;3235,38;27749,5;24476,1;0
1519;24.08.2026;LPG;304,31;18817,3;18497,1;0
1519;2026-08-25;PB95;2555,3;15567,1;42998,3;30000,0
1519;2026-08-25;PB98;3934,11;15442,0;11543,1;0
1519;2026-08-25;ON;2968.06;8257,9;5270,1;0
1519;2026-08-25;LPG;377,97;16583,5;16171,6;0
1519;2026-08-26;PB95;8440,62;24624,4;16166,2;0,0 l
1519;2026-08-26;PB98 ;1887,13;22563,5;20648,3;0
1519;2026-08-26;ON;8782,79;17597,3;38804,4;30000,0
1519;2026-08-26;LPG;1447,4;27453,9;26017,0;0
0412;2026-08-25;PB98;7938,51;14371,4;16438,6;10000,0
0745;2026-08-25;ON;-312,40;0;0;0
